sentence,tense
Would I have been leading this company for two years if I hadn't left?,Past Future Perfect Continuous
,
,
,
My family would have visited the museum if it hadn't rained., Past Future Perfect
She would have looked at him so deeply., Past Future Perfect
I should have bought the album last night., Past Future Perfect
We would have finished the project if you hadn't been late., Past Future Perfect
The students should have submitted the assignment if they hadn't been busy preparing for their performance., Past Future Perfect
"If they had given me a chance, I would have expressed my opinion.", Past Future Perfect
The competition should have been held last week., Past Future Perfect
She would have talked and laughed together with her friends., Past Future Perfect
I wouldn't have ridden a bike to school., Past Future Perfect
He would not have picked you up if you had called him before., Past Future Perfect
We would not have come if you had been busy., Past Future Perfect
The party wouldn't have started at 9 p.m. tonight., Past Future Perfect
My mother would not have bought me a new phone if I had found the old one., Past Future Perfect
I thought you would not have sent the email by the time I called you., Past Future Perfect
I wouldn't have eaten breakfast with toast., Past Future Perfect
I shouldn't have stayed up late yesterday., Past Future Perfect
Would they have come if we had asked them?, Past Future Perfect
Would Sari have finished the report if the client had called her?, Past Future Perfect
Would you have cleaned your room if your mother had told you to?, Past Future Perfect
Should we have told their parents by then?, Past Future Perfect
Would John have agreed to meet us at the restaurant at seven?, Past Future Perfect
I would have helped you if I had known about the problem., Past Future Perfect
She would have passed the exam if she had studied harder., Past Future Perfect
They would have arrived earlier if the traffic had not been heavy., Past Future Perfect
He should have apologized to his teacher after the incident., Past Future Perfect
We would not have missed the train if we had left the house earlier., Past Future Perfect
The manager would have approved the proposal if the budget had been sufficient., Past Future Perfect
I thought she would have completed the task before the deadline., Past Future Perfect
Would you have accepted the offer if the salary had been higher?, Past Future Perfect
They should have informed us about the schedule change., Past Future Perfect
,
,
,
He said he would be studying for the exam that night.,Past Future Continuous
The manager said that they would be filming a new drama.,Past Future Continuous
I said I should be learning French.,Past Future Continuous
The manager said that they would be filming a new TV show.,Past Future Continuous
They would be preparing the presentation if the light didn't turn off.,Past Future Continuous
The teacher said that they should be studying math.,Past Future Continuous
The singers said they should be performing their new song.,Past Future Continuous
My sister told me that she would be playing with my cats if she had time.,Past Future Continuous
Tina would be sending a letter to her idol if she knew how to speak Korean.,Past Future Continuous
Their family wouldn't be visiting our family last month.,Past Future Continuous
The teachers would not be giving some quizzes today.,Past Future Continuous
The students would not be running here and there if the teacher was there.,Past Future Continuous
My friends would not be staying in a homestay when they visited Jogja.,Past Future Continuous
I would not be shopping by this time last Saturday.,Past Future Continuous
We would not be working that afternoon.,Past Future Continuous
He would not be studying when his father came back from work.,Past Future Continuous
The sun would not be shining during the football match based on the weather report.,Past Future Continuous
Sean would not be waiting for Tania.,Past Future Continuous
She said we should not be procrastinating our work.,Past Future Continuous
Would she be giving you a gift?,Past Future Continuous
Would you be buying me a ticket if I asked you?,Past Future Continuous
Would their family be visiting your family last month according to our wedding plan?,Past Future Continuous
"According to schedule, would the meeting be running when you arrived from London?",Past Future Continuous
Would you be going to the concert?,Past Future Continuous
Would they be singing together if the microphone worked?,Past Future Continuous
Would the students be attending the economic class at 12.30 by this time yesterday?,Past Future Continuous
Would the sun be shining during the football match based on the weather report?,Past Future Continuous
Would he be cooking when his father came back from work?,Past Future Continuous
Would they be selling the bracelet cheaply?,Past Future Continuous
He said they would be working late that night., Past Future Continuous
,
,
 They would visit that place yesterday.,Simple Past Future
 He would give his new backpack to his sister.,Simple Past Future
 The fire would stop faster if the wind had not blown last night.,Simple Past Future
 Lia was going to give two beautiful scarves to her friend.,Simple Past Future
 He would forgive you.,Simple Past Future
 I would have played with him yesterday.,Simple Past Future
 I knew you would prepare all the things for the meeting.,Simple Past Future
 I would be picked up when you arrive at the station tomorrow.,Simple Past Future
 My uncle told me that he would come on time.,Simple Past Future
 I would be there if tomorrow was not rainy.,Simple Past Future
 They would not visit that place yesterday.,Simple Past Future
 He would not give his new backpack to his sister.,Simple Past Future
 The fire would not stop faster if the wind had blown last night.,Simple Past Future
 He wouldn't forgive you.,Simple Past Future
 Lia wasn't going to give two beautiful scarves to her friend.,Simple Past Future
 I would not have played with him yesterday.,Simple Past Future
 I thought you would not come to the meeting.,Simple Past Future
 I knew you would not prepare all the things for the meeting.,Simple Past Future
 I would not be picked up when you arrive at the station tomorrow.,Simple Past Future
 My uncle told me that he would not come on time.,Simple Past Future
 Would they visit that place yesterday?,Simple Past Future
 Would he give his new backpack to his sister?,Simple Past Future
 Would the fire stop faster if the wind had not blown last night?,Simple Past Future
 Would he forgive you?,Simple Past Future
 Was Lia going to give two beautiful scarves to her friend?,Simple Past Future
 Would you have played with him yesterday?,Simple Past Future
 Would you be there if tomorrow was not rainy?,Simple Past Future
 Would your uncle have told you that he would come on time?,Simple Past Future
 Would you be picked up when you arrive at the station tomorrow?,Simple Past Future
 Would you know I prepared all the things for the meeting?,Simple Past Future
,
,
"By the next year, I will have been working as a teacher for 30 years.",Future Perfect Continuous
"In August, I will have been working as a Digital Marketer for three years.",Future Perfect Continuous
Galih will have been checking my car for an hour before he gets home.,Future Perfect Continuous
Suryo will have been living here for five years by next month.,Future Perfect Continuous
I will have been teaching here for five years this year.,Future Perfect Continuous
Indah will have been flying to Jakarta for several hours by next Monday.,Future Perfect Continuous
We will have been driving the car for 14 hours by tomorrow morning.,Future Perfect Continuous
They will have been watching the concert for half an hour at 20.00.,Future Perfect Continuous
Adrian will have been playing soccer for an hour at 16.30.,Future Perfect Continuous
My sister will have been cleaning her room all day long tomorrow.,Future Perfect Continuous
Sinta will not have been wearing a costume to the party.,Future Perfect Continuous
Suryo will not have been living here for five years by next month.,Future Perfect Continuous
They will not have been watching the concert for two hours at 20.00.,Future Perfect Continuous
Indah will not have been flying to Jakarta for several hours by next Monday.,Future Perfect Continuous
Adrian will not have been playing soccer for an hour at 16.30.,Future Perfect Continuous
My sister will not have been cleaning her room by 13.00 tomorrow.,Future Perfect Continuous
I will not have been teaching here for seven years this year.,Future Perfect Continuous
Roma will not have been eating Thai food for an hour by the time I arrive.,Future Perfect Continuous
My father will not have been living in Bali for a few weeks before he moves to Jakarta.,Future Perfect Continuous
My mother will not have been teaching at 80 Jakarta Senior High School for a few weeks before she moves to Bali.,Future Perfect Continuous
Will they have been getting up early in the morning?,Future Perfect Continuous
Will you have been teaching here for five years this year?,Future Perfect Continuous
Will Diana have been studying English for two months by the end of this month?,Future Perfect Continuous
Will you have been working for two hours when I arrive?,Future Perfect Continuous
Will Norah have been renting this house for four years by next week?,Future Perfect Continuous
Will my sister have been cleaning her room all day long tomorrow?,Future Perfect Continuous
Will they have been watching the concert for half an hour at 20.00?,Future Perfect Continuous
He will have been studying for the final exam for three hours by midnight., Future Perfect Continuous
We will have been discussing the project for two hours when the meeting ends., Future Perfect Continuous
They will not have been waiting at the airport for a long time by the time the plane arrives., Future Perfect Continuous
,
,
My sister will have broken your book when you come this afternoon.,Future Perfect
Diana will have finished her work at the end of this week.,Future Perfect
I will have finished my paper by the deadline.,Future Perfect
My mother will have booked the tickets by next week.,Future Perfect
We will have gone to the library when you arrive.,Future Perfect
They will have already filmed their new movie by next year.,Future Perfect
The students will have taken the exam by December.,Future Perfect
"By 2020, I will have graduated from senior high school.",Future Perfect
We will have moved to Kim’s place by this time tomorrow.,Future Perfect
They will have gotten to Japan by this time next month.,Future Perfect
My brother will not have broken your novel when you come this afternoon.,Future Perfect
We will not have moved to Kim’s place by this time tomorrow.,Future Perfect
"By the time we get home, my grandmother will not have knitted the scarf yet.",Future Perfect
"By the time you arrive at the airport, your brother’s plane will not have landed yet.",Future Perfect
The secretary will not have prepared the document by 3 p.m.,Future Perfect
My brother will not have bought a new car by then.,Future Perfect
Alex will not have finished his work at the end of this week.,Future Perfect
Jeon will not have gone to the office when you arrive.,Future Perfect
My uncle will not have worked in Jakarta by the end of this month.,Future Perfect
They will not have gotten to Japan by this time next month.,Future Perfect
Will they have finished their photo shoot by 6 p.m. this evening?,Future Perfect
Will Diana have finished her work at the end of this week?,Future Perfect
Will your brother have closed the café by 11 p.m. tonight?,Future Perfect
Will you have cleaned your house by the time your parents arrive?,Future Perfect
Will we have gotten to Korea by this time next month?,Future Perfect
Will my brother have broken your book when you come this morning?,Future Perfect
Will they have moved to Kim’s place by this time tomorrow?,Future Perfect
Will you have decided the theme of your event by tomorrow evening?,Future Perfect
Will you have bathed your cat by 3 p.m. this afternoon?,Future Perfect
Will Jeon have gone to the office when you arrive?,Future Perfect
,
I will be reading a book at this time tomorrow., Future Continuous
You will be watching a movie tonight., Future Continuous
He will be playing video games in his room., Future Continuous
She will be cooking dinner in the kitchen., Future Continuous
It will be raining outside., Future Continuous
We will be traveling to Bali next month., Future Continuous
They will be celebrating their anniversary next week., Future Continuous
The children will be playing in the park., Future Continuous
I will not be working on my homework tonight., Future Continuous
You will not be going to the party tomorrow., Future Continuous
He will not be watching TV tonight., Future Continuous
She will not be cooking dinner tonight., Future Continuous
It will not be snowing tomorrow., Future Continuous
We will not be traveling to Jakarta next week., Future Continuous
They will not be celebrating their birthday next month., Future Continuous
The children will not be playing in the street., Future Continuous
Will you be going to the beach this weekend?, Future Continuous
Will he be working overtime tonight?, Future Continuous
Will she be taking a vacation next month?, Future Continuous
Will it be raining tomorrow?, Future Continuous
Will we be having a meeting next week?, Future Continuous
Will they be graduating next year?, Future Continuous
Will the children be playing outside this afternoon?, Future Continuous
I will be studying for my final exam tomorrow night., Future Continuous
You will be waiting for the bus at 7 a.m. tomorrow., Future Continuous
He will be attending an online class this afternoon., Future Continuous
She will be working on her thesis next semester., Future Continuous
We will be having dinner with our family tonight., Future Continuous
They will be preparing the event this weekend., Future Continuous
The teacher will be explaining the lesson at this time tomorrow., Future Continuous
,
,
I will have dinner with Marshal., Simple Future
You are going to call me when you get there., Simple Future
We will help you., Simple Future
They will go to Ariana Grande’s concert next week., Simple Future
He is going to ask her to go to the ball with him., Simple Future
I am not going to spend my vacation in Hawaii., Simple Future
We won’t play the game anymore., Simple Future
He isn’t going to participate in the next match., Simple Future
She will not forget you., Simple Future
Are you going to attend the party?, Simple Future
Will they forgive me?, Simple Future
Are we going to book the flight?, Simple Future
Is he going to do his assignment?, Simple Future
Will Paula bring along her kids?, Simple Future
I will finish my homework tonight., Simple Future
She will visit her grandmother tomorrow., Simple Future
They will start the meeting at 9 a.m., Simple Future
We will study together this evening., Simple Future
He will buy a new laptop next month., Simple Future
I am going to watch a movie this weekend., Simple Future
We are going to clean the house tomorrow morning., Simple Future
They are going to travel to Japan next year., Simple Future
He is going to learn how to drive a car., Simple Future
She is going to open a small café someday., Simple Future
I will not tell anyone about this secret., Simple Future
They will not cancel the event., Simple Future
We are not going to argue about this anymore., Simple Future
He is not going to skip the class tomorrow., Simple Future
Will you help me with this assignment?, Simple Future
Are they going to join the competition?, Simple Future
,
,
,
I had been watching TV all day., Past Perfect Continuous
They had been smoking., Past Perfect Continuous
They had been playing hide and seek for an hour., Past Perfect Continuous
She had been doing her homework since 5 o’clock when you called., Past Perfect Continuous
Iwan had been painting his room for hours before his father came home., Past Perfect Continuous
I had not been watching TV all day., Past Perfect Continuous
They hadn’t been smoking., Past Perfect Continuous
They had not been playing hide and seek for an hour., Past Perfect Continuous
She hadn’t been doing her homework since 5 o’clock when you called., Past Perfect Continuous
Iwan hadn’t been painting his room for hours before his father came home., Past Perfect Continuous
Had I been watching TV all day?, Past Perfect Continuous
Had they been smoking?, Past Perfect Continuous
Had they been playing hide and seek for an hour?, Past Perfect Continuous
Had she been doing her homework since 5 o’clock when you called?, Past Perfect Continuous
Had Iwan been painting his room for hours before his father came home?, Past Perfect Continuous
He had been studying for the exam all night., Past Perfect Continuous
We had been waiting for the bus for thirty minutes before it arrived., Past Perfect Continuous
She had been working at the company for five years before she resigned., Past Perfect Continuous
They had been arguing for hours before the teacher came., Past Perfect Continuous
I had been reading the novel when the power went out., Past Perfect Continuous
He had not been sleeping well before the accident happened., Past Perfect Continuous
We had not been paying attention during the lecture., Past Perfect Continuous
She had not been feeling well for days before she went to the doctor., Past Perfect Continuous
They had not been practicing enough before the competition., Past Perfect Continuous
I had not been listening when you explained the rules., Past Perfect Continuous
Had he been studying all night before the exam?, Past Perfect Continuous
Had we been waiting too long before the train arrived?, Past Perfect Continuous
Had she been working late every night last week?, Past Perfect Continuous
Had they been arguing again before the meeting started?, Past Perfect Continuous
Had you been exercising regularly before you got sick?, Past Perfect Continuous
,
,
,
The bus had left when he reached the bus stop., Past Perfect
"By the time I got home, my sister had finished her homework.", Past Perfect
Rizka had studied before she took the IELTS test., Past Perfect
I had fed my hamster before I left., Past Perfect
My brother had washed his car before he went out of town., Past Perfect
I had eaten the pizza before my little sister came home from school., Past Perfect
I had had lunch when my mother called me., Past Perfect
My uncle had moved to London before this house was built., Past Perfect
My father had read the newspaper before he went to the office., Past Perfect
Roni had painted his house when his grandparents came., Past Perfect
The bus had not left when he reached the bus stop., Past Perfect
"By the time I got home, my brother had not finished his homework.", Past Perfect
Rizka had not studied before she took the IELTS test., Past Perfect
I had not fed my hamster before I left., Past Perfect
My brother had not washed his car before he went out of town., Past Perfect
I had not eaten the pizza before my little sister came home from school., Past Perfect
I had not had lunch when my mother called me., Past Perfect
My uncle had not moved to London before this house was built., Past Perfect
My father had not read the newspaper before he went to the office., Past Perfect
Roni had not painted his house when his grandparents came., Past Perfect
Had the bus left when he reached the bus stop?, Past Perfect
Had your sister finished her homework by the time you got home?, Past Perfect
Had Rizka studied grammar before she took the IELTS test?, Past Perfect
Had you fed my hamster before you left?, Past Perfect
Had your brother washed his car before he went out of town?, Past Perfect
Had you eaten the pizza before your little sister came home from school?, Past Perfect
Had you had lunch when your mother called you?, Past Perfect
Had your uncle moved to London before this house was built?, Past Perfect
Had your father read the newspaper before he went to the office?, Past Perfect
Had Roni painted his house when his grandparents came?, Past Perfect
,
I was studying for my exam last night., Past Continuous
They were playing football in the park., Past Continuous
She was cooking dinner when I called her., Past Continuous
We were watching a movie at the cinema., Past Continuous
He was working on his project all day yesterday., Past Continuous
The children were playing hide and seek in the backyard., Past Continuous
I was taking a shower when the phone rang., Past Continuous
They were walking their dog in the park., Past Continuous
She was reading a book before bed., Past Continuous
We were having a picnic by the lake yesterday., Past Continuous
I wasn't watching TV when you called me., Past Continuous
They weren't playing basketball at the gym yesterday., Past Continuous
She wasn't studying for the test last night., Past Continuous
We weren't eating dinner at that restaurant., Past Continuous
He wasn't working late at the office yesterday., Past Continuous
The children weren't sleeping when I checked on them., Past Continuous
I wasn't listening to music while I was driving., Past Continuous
They weren't talking to each other during the meeting., Past Continuous
She wasn't wearing a jacket even though it was cold outside., Past Continuous
We weren't playing video games last night., Past Continuous
Were you studying for the exam last night?, Past Continuous
Were they playing football in the park?, Past Continuous
Was she cooking dinner when you called her?, Past Continuous
Were we watching a movie at the cinema?, Past Continuous
Was he working on his project all day yesterday?, Past Continuous
Were the children playing hide and seek in the backyard?, Past Continuous
Were you taking a shower when the phone rang?, Past Continuous
Were they walking their dog in the park?, Past Continuous
Was she reading a book before bed?, Past Continuous
Were we having a picnic by the lake yesterday?, Past Continuous
,
I visited Paris last summer., Simple Past
She finished her homework before dinner., Simple Past
We watched a movie yesterday., Simple Past
He played football with his friends after school., Simple Past
They traveled to Japan two years ago., Simple Past
The team won the championship last year., Simple Past
My sister bought a new car last month., Simple Past
We celebrated my birthday at a restaurant., Simple Past
He graduated from college in 2010., Simple Past
The sun set beautifully in the evening., Simple Past
I didn't visit Paris last summer., Simple Past
She didn't finish her homework before dinner., Simple Past
We didn't watch a movie yesterday., Simple Past
He didn't play football with his friends after school., Simple Past
They didn't travel to Japan two years ago., Simple Past
The team didn't win the championship last year., Simple Past
My sister didn't buy a new car last month., Simple Past
We didn't celebrate my birthday at a restaurant., Simple Past
He didn't graduate from college in 2010., Simple Past
The sun didn't set beautifully in the evening., Simple Past
Did you watch the movie last night?, Simple Past
Did she finish her homework?, Simple Past
Did they go to the party?, Simple Past
Did he buy a new car?, Simple Past
Did you eat dinner at the restaurant?, Simple Past
Did they visit their grandparents?, Simple Past
Did she call you yesterday?, Simple Past
Did he play soccer with his friends?, Simple Past
Did you travel to another country last summer?, Simple Past
Did they see the fireworks display?, Simple Past
,
I have been studying English for three years., Present Perfect Continuous
She has been working at the company since 2010., Present Perfect Continuous
They have been playing basketball for two hours., Present Perfect Continuous
We have been living in this city for five months., Present Perfect Continuous
He has been practicing the guitar every day., Present Perfect Continuous
The children have been studying for their exams all week., Present Perfect Continuous
Sarah has been working on her project for a month., Present Perfect Continuous
We have been saving money for our trip., Present Perfect Continuous
They have been learning French for six months., Present Perfect Continuous
He has been exercising regularly to stay fit., Present Perfect Continuous
I haven't been studying Spanish lately., Present Perfect Continuous
She hasn't been working out regularly., Present Perfect Continuous
They haven't been practicing the piano for a while., Present Perfect Continuous
We haven't been saving money for our vacation., Present Perfect Continuous
He hasn't been taking care of his health., Present Perfect Continuous
The children haven't been doing their homework properly., Present Perfect Continuous
Sarah hasn't been studying for her exams., Present Perfect Continuous
We haven't been spending much time together lately., Present Perfect Continuous
They haven't been working on their project diligently., Present Perfect Continuous
He hasn't been practicing his guitar skills regularly., Present Perfect Continuous
Have you been studying for the exam?, Present Perfect Continuous
Has she been working on the project all day?, Present Perfect Continuous
Have they been playing soccer since morning?, Present Perfect Continuous
Have we been waiting for the bus for too long?, Present Perfect Continuous
Has he been practicing the piano recently?, Present Perfect Continuous
Have the children been watching TV all evening?, Present Perfect Continuous
Has Sarah been cooking dinner for the family?, Present Perfect Continuous
Have we been talking about our future plans?, Present Perfect Continuous
Have they been traveling around Europe for a month?, Present Perfect Continuous
Has he been studying for his exams diligently?, Present Perfect Continuous
,
I have finished my homework., Present Perfect
She has traveled to many countries., Present Perfect
They have lived in this city for five years., Present Perfect
He has just arrived at the airport., Present Perfect
We have already eaten dinner., Present Perfect
The team has won the championship., Present Perfect
She has read that book before., Present Perfect
I have seen that movie twice., Present Perfect
They have finished their project., Present Perfect
He has bought a new car., Present Perfect
I have not finished my homework yet., Present Perfect
She has not traveled to many countries., Present Perfect
They have not lived in this city for a long time., Present Perfect
He has not just arrived at the airport., Present Perfect
We have not already eaten dinner., Present Perfect
The team has not won the championship yet., Present Perfect
She has not read that book before., Present Perfect
I have not seen that movie twice., Present Perfect
They have not finished their project yet., Present Perfect
He has not bought a new car., Present Perfect
Have you finished your homework?, Present Perfect
Has she traveled to many countries?, Present Perfect
How long have they lived in this city?, Present Perfect
Has he just arrived at the airport?, Present Perfect
Have you already eaten dinner?, Present Perfect
Has the team won the championship?, Present Perfect
Have you read that book before?, Present Perfect
How many times have you seen that movie?, Present Perfect
Have they finished their project?, Present Perfect
Has he bought a new car?, Present Perfect
,
I am studying for my exams., Present Continuous
She is working on a new project., Present Continuous
We are watching a movie tonight., Present Continuous
They are playing football in the park., Present Continuous
He is cooking dinner for the family., Present Continuous
The kids are playing in the garden., Present Continuous
I am attending a conference this week., Present Continuous
The cat is sleeping on the couch., Present Continuous
My sister is learning to play the guitar., Present Continuous
We are traveling to Bali next month., Present Continuous
I am not studying for my exams., Present Continuous
She is not cooking dinner in the kitchen., Present Continuous
They are not playing soccer in the park., Present Continuous
He is not reading a book in his room., Present Continuous
We are not watching a movie at the cinema., Present Continuous
The dog is not chasing its tail in the backyard., Present Continuous
The children are not dancing in the living room., Present Continuous
My sister is not painting a picture in her art class., Present Continuous
The teacher is not explaining a new lesson to the students., Present Continuous
The car is not driving slowly on the highway., Present Continuous
Are you studying for your exams?, Present Continuous
Is she working on a new project?, Present Continuous
Are we watching a movie tonight?, Present Continuous
Are they playing football in the park?, Present Continuous
Is he cooking dinner for the family?, Present Continuous
Are the kids playing in the garden?, Present Continuous
Are you attending a conference this week?, Present Continuous
Is the cat sleeping on the couch?, Present Continuous
Is your sister learning to play the guitar?, Present Continuous
Are we traveling to Bali next month?, Present Continuous
,
I work in an office., Simple Present
She sings beautifully., Simple Present
We play football every Saturday., Simple Present
The cat sleeps on the windowsill., Simple Present
He teaches mathematics at the university., Simple Present
The sun sets in the evening., Simple Present
They live in a small village., Simple Present
My parents visit us every month., Simple Present
The clock ticks loudly., Simple Present
I read a book before bedtime., Simple Present
I don't eat meat., Simple Present
She doesn't like horror movies., Simple Present
We don't have class on Saturdays., Simple Present
He doesn't speak French., Simple Present
They don't live in the city., Simple Present
I don't play video games., Simple Present
He doesn't drink coffee., Simple Present
We don't watch TV during the day., Simple Present
She doesn't go to the gym on Mondays., Simple Present
They don't like spicy food., Simple Present
Do you like chocolate?, Simple Present
Does she work at the hospital?, Simple Present
Do they play tennis on weekends?, Simple Present
Do we have a meeting tomorrow?, Simple Present
Do you visit your grandparents regularly?, Simple Present
Does he speak Spanish fluently?, Simple Present
I wake up early every morning., Simple Present
She works as a graphic designer., Simple Present
They usually eat breakfast at 7 a.m., Simple Present
He always helps his parents at home., Simple Present
